model,language,en_cossim
mBERT,es,0.37521422
mBERT,de,0.35347614
mBERT,hi,0.28209987
mBERT,zh,0.3243455
mBERT,fr,0.38768497
mBERT,ru,0.31634948
XLM-R,es,0.6755509
XLM-R,de,0.6537194
XLM-R,hi,0.54227036
XLM-R,zh,0.5900735
XLM-R,fr,0.6888617
XLM-R,ru,0.57268834
Qwen,es,0.55345845
Qwen,de,0.61383426
Qwen,hi,0.44333905
Qwen,zh,0.56912345
Qwen,fr,0.66577405
Qwen,ru,0.5460024
granite,es,0.4077027142047882
granite,de,0.29627275466918945
granite,hi,0.17283594608306885
granite,zh,0.23049744963645935
granite,fr,0.3898634910583496
granite,ru,0.24788421392440796
